anchor,positive,negative,negative_similarity,source_stt,negative_stt
"Theo Thông báo số 746, giảng viên cơ hữu cần thống kê nhiệm vụ trong khoảng thời gian nào của năm học 2023–2024?","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên cơ hữu cần thống kê nhiệm vụ trong khoảng thời gian từ ngày 01/9/2023 đến hết ngày 31/8/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)","Các đơn vị, cá nhân liên quan phải nghiêm túc thực hiện kế hoạch giám sát giảng đường năm học 2023-2024.",0.72438276,TB_746,KH_866
"Theo Thông báo số 746, giảng viên không kê khai nhiệm vụ sẽ bị xử lý như thế nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, nếu giảng viên không kê khai khối lượng nhiệm vụ của năm học 2023–2024 trước thời hạn, sẽ bị xem là không có phát sinh nhiệm vụ và thiếu giờ nghĩa vụ; Nhà trường sẽ thực hiện các biện pháp xử lý khắc phục theo quy định hiện hành. (áp dụng từ 01/9/2023 đến 31/8/2024)","Có. Mỗi giảng viên có hồ sơ lưu tại Phòng Tổ chức – Hành chính, bao gồm lý lịch khoa học, quyết định phân công, văn bằng chứng chỉ, minh chứng giảng dạy,...",0.5759406,TB_746,BDU_330
"Theo Thông báo số 746, hạn chót để các đơn vị gửi bản kê khai nhiệm vụ giảng viên cơ hữu về Phòng Quản lý đào tạo và Công tác sinh viên là khi nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, hạn chót là trước 16h00 ngày 23/7/2024; các đơn vị phải nộp bản giấy có chữ ký và danh sách tổng hợp về Phòng Quản lý đào tạo và Công tác sinh viên, đồng thời gửi bản điện tử qua email: daotao@bdu.edu.vn. (áp dụng từ 01/9/2023 đến 31/8/2024)",Phòng Quản lý đào tạo và Công tác sinh viên của Trường chỉ chấp nhận đăng ký khối lượng học tập của sinh viên ở mỗi học kỳ khi sinh viên thực hiện theo đúng thông báo đăng ký môn học từng học kỳ do Nhà trường ban hành.,0.7377684,TB_746,BDU_057
"Theo Thông báo số 746, giảng viên cần khai báo minh chứng nghiên cứu khoa học ở đâu?","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên cần khai báo minh chứng nghiên cứu khoa học qua đường link: https://forms.gle/T7RfxRU8mBAC8aLr7. (áp dụng từ 01/9/2023 đến 31/8/2024)",Giảng viên nộp hồ sơ đăng ký đề tài NCKH tại Phòng Quản lý Khoa học & Hợp tác quốc tế theo thông báo từng đợt của nhà trường.,0.60633516,TB_746,BDU_218
"Theo Thông báo số 746, đơn vị nào chịu trách nhiệm kiểm tra và công khai dữ liệu nhiệm vụ giảng viên?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Quản lý đào tạo và Công tác sinh viên chịu trách nhiệm kiểm tra, tổng hợp và công khai dữ liệu sơ bộ trên hệ thống quản lý văn bản nội bộ của Nhà trường trước 16h00 ngày 09/8/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)","Với tư cách giảng viên hướng dẫn và đại diện đơn vị Khoa, bạn có trách nhiệm quan trọng trong việc đảm bảo tính trung thực của đề tài. Phòng Quản lý khoa học và Quan hệ đối ngoại chủ trì kiểm tra. Đơn vị Khoa xác nhận thông tin. Sinh viên cam kết trung thực và chịu trách nhiệm trước Ban Tổ chức.",0.66749716,TB_746,TB_886
"Theo Thông báo số 746, giảng viên có được phản ánh khiếu nại về thống kê nhiệm vụ không?","Theo Thông báo số 746 ban hành ngày 9/7/2024, từ ngày 10/8/2024 đến hết ngày 15/8/2024, các đơn vị và cá nhân có thể kiểm tra, phản ánh các khiếu nại về dữ liệu đã công khai; sau thời gian này, mọi khiếu nại sẽ không được giải quyết. (áp dụng từ 01/9/2023 đến 31/8/2024)","Theo Thông báo số 674, giảng viên có thể góp ý các khó khăn, vướng mắc trong quá trình thực hiện Luật Giáo dục 2019 và đề xuất, kiến nghị bổ sung ngoài các nội dung đã nêu.",0.6144748,TB_746,TB_674
"Theo Thông báo số 746, định mức giờ chuẩn giảng dạy của giảng viên căn cứ theo văn bản nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, định mức giờ chuẩn giảng dạy của giảng viên căn cứ theo Quyết định số 2004/QĐ-ĐHBD ngày 26/7/2019 về Quy định chế độ làm việc đối với giảng viên cơ hữu của Trường Đại học Bình Dương. (áp dụng từ 01/9/2023 đến 31/8/2024)","Có. Mỗi giảng viên có hồ sơ lưu tại Phòng Tổ chức – Hành chính, bao gồm lý lịch khoa học, quyết định phân công, văn bằng chứng chỉ, minh chứng giảng dạy,...",0.6697906,TB_746,BDU_330
"Theo Thông báo số 746, ai là người ký ban hành kế hoạch thống kê nhiệm vụ giảng viên cơ hữu năm học 2023–2024?","Theo Thông báo số 746 ban hành ngày 9/7/2024, người ký ban hành kế hoạch thống kê nhiệm vụ giảng viên cơ hữu năm học 2023–2024 là Phó Hiệu trưởng Thường trực – bà Đỗ Đoan Trang. (áp dụng từ 01/9/2023 đến 31/8/2024)","Các đơn vị, cá nhân liên quan phải nghiêm túc thực hiện kế hoạch giám sát giảng đường năm học 2023-2024.",0.7860985,TB_746,KH_866
"Theo Thông báo số 746, ai chịu trách nhiệm cung cấp danh sách lãnh đạo và giảng viên thực hiện nhiệm vụ cho Phòng Quản lý đào tạo và Công tác sinh viên?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Tổng hợp chịu trách nhiệm cung cấp danh sách lãnh đạo và giảng viên thực hiện nhiệm vụ giảng dạy, nghiên cứu khoa học và các nhiệm vụ khác cho Phòng Quản lý đào tạo và Công tác sinh viên, trước ngày 15/7/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",Phòng Quản lý đào tạo và Công tác sinh viên và giáo viên chủ nhiệm có trách nhiệm hướng dẫn cho sinh viên đăng ký học tập trên hệ thống đăng ký học tập https://sv.bdu.edu.vn.,0.75937235,TB_746,BDU_051
"Theo Thông báo số 746, ai là người xác nhận nhiệm vụ nghiên cứu khoa học sau khi đối chiếu dữ liệu?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Quản lý khoa học và Quan hệ đối ngoại là đơn vị xác nhận nhiệm vụ nghiên cứu khoa học sau khi đối chiếu dữ liệu nhận từ Phòng Quản lý đào tạo và Công tác sinh viên, chậm nhất trước 16h00 ngày 31/7/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)","Các đơn vị Phòng ban, Khoa, Viện đào tạo có trách nhiệm kiểm tra tính trung thực, xác nhận thông tin cho các đội/nhóm tham gia theo quy định. Điều này thể hiện sự nghiêm túc của Nhà trường trong việc đảm bảo chất lượng và tính xác thực của các công trình nghiên cứu.",0.65321803,TB_746,TB_886
"Theo Thông báo số 746, đơn vị nào có trách nhiệm thanh toán và kiểm tra tài chính với trường hợp giảng viên vượt tiết hoặc thiếu tiết nghĩa vụ?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Tài chính – Kế toán chịu trách nhiệm kiểm tra, xác nhận số tiền thanh toán và tham mưu xử lý khắc phục với các trường hợp giảng viên không đủ tiết nghĩa vụ theo đúng quy định hiện hành. (áp dụng từ 01/9/2023 đến 31/8/2024)","Có. Phòng Đào tạo hoặc Ban Thanh tra Giáo dục có thể kiểm tra đột xuất để đảm bảo giờ giấc, chất lượng và tính nghiêm túc trong giảng dạy.",0.67050034,TB_746,BDU_358
"Theo Thông báo số 746, giảng viên phải điền các nội dung gì trong biểu mẫu kê khai nhiệm vụ giảng dạy?","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên phải điền các thông tin về tên môn học, mã môn học, số tiết lý thuyết, số tiết thực hành, số lượng lớp, quy đổi ra giờ chuẩn trong phần kê khai nhiệm vụ giảng dạy. (áp dụng từ 01/9/2023 đến 31/8/2024)","Có. Mỗi giảng viên có hồ sơ lưu tại Phòng Tổ chức – Hành chính, bao gồm lý lịch khoa học, quyết định phân công, văn bằng chứng chỉ, minh chứng giảng dạy,...",0.68954915,TB_746,BDU_330
"Theo Thông báo số 746, giảng viên cần lưu ý gì về giờ nghĩa vụ nếu không kê khai đúng quy định?","Theo Thông báo số 746 ban hành ngày 9/7/2024, nếu giảng viên không kê khai đúng quy định thì số giờ không kê khai sẽ không được tính là giờ nghĩa vụ trong năm học 2023–2024. (áp dụng từ 01/9/2023 đến 31/8/2024)","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên phải điền các thông tin về tên môn học, mã môn học, số tiết lý thuyết, số tiết thực hành, số lượng lớp, quy đổi ra giờ chuẩn trong phần kê khai nhiệm vụ giảng dạy. (áp dụng từ 01/9/2023 đến 31/8/2024)",0.712194,TB_746,TB_746
Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản nào?,Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),Các bài báo cáo được duyệt sẽ được đăng toàn văn trên Tạp chí Khoa học và Công nghệ của Trường Đại học Bình Dương và kỷ yếu Hội thảo có số ISBN.,0.68395615,TB_676,TB_656
Những ai được mời gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 (Quý III/2024)?,"Các nhà khoa học, cán bộ nghiên cứu, giảng viên trong và ngoài Trường Đại học Bình Dương đều được mời gửi bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024). (áp dụng từ 28/6/2024 đến 11/9/2024)",Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),0.7325758,TB_676,TB_676
Bài viết gửi cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 cần định dạng file như thế nào?,Định dạng chi tiết của file Word này cần tuân theo thể lệ được đăng trên trang web của Tạp chí tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions. (áp dụng từ 28/6/2024 đến 11/9/2024),Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),0.64594704,TB_676,TB_676
Địa chỉ trang web nào cung cấp thể lệ gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương?,Thể lệ gửi bài được đăng tải tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions. (áp dụng từ 28/6/2024 đến 11/9/2024),Giảng viên gửi bài theo đúng định dạng về Ban biên tập Tạp chí Khoa học Đại học Bình Dương qua email: tapchi@bdu.edu.vn.,0.7179796,TB_676,BDU_243
Tác giả gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 qua email nào?,Tác giả gửi bài viết qua địa chỉ email: jst@bdu.edu.vn. (áp dụng từ 28/6/2024 đến 11/9/2024),Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),0.64225364,TB_676,TB_676
Hạn cuối cùng nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 là ngày nào?,Hạn cuối nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024) là đến hết ngày 11/9/2024. (áp dụng từ 28/6/2024 đến 11/9/2024),Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),0.70500034,TB_676,TB_676
"Nếu có thắc mắc về việc gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3, tôi có thể liên hệ với ai?",Tác giả có thể liên hệ Ban Biên tập qua email jst@bdu.edu.vn hoặc liên hệ ThS. Lưu Thanh Thảo Trâm – Phòng Quản lý Khoa học và Quan hệ Đối ngoại qua email lttram@bdu.edu.vn. (áp dụng từ 28/6/2024 đến 11/9/2024),Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi: Phó hiệu trưởng Lê Văn Cường. (áp dụng từ 28/6/2024 đến 11/9/2024),0.5927919,TB_676,TB_676
Số điện thoại liên hệ của ThS. Lưu Thanh Thảo Trâm là bao nhiêu?,Số điện thoại liên hệ là (+84) 274 3 871 387 hoặc 0868 508 373. (áp dụng từ 28/6/2024 đến 11/9/2024),ThS. Vũ Thị Thương Thương là thành viên tham gia đề tài.,0.38867941,TB_676,QD_801
Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi ai và vào ngày nào?,Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi: Phó hiệu trưởng Lê Văn Cường. (áp dụng từ 28/6/2024 đến 11/9/2024),Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),0.6480203,TB_676,TB_676
"Theo Thông báo TB_763, đối tượng nào thuộc diện phải thực hiện khảo sát chất lượng đào tạo bổ sung tại Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, đối tượng khảo sát là sinh viên đại học chính quy chưa thực hiện khảo sát chất lượng đào tạo (áp dụng từ 24/07/2023 đến 27/07/2023)","Theo Thông báo số 906, các đơn vị đào tạo cần rà soát tiến độ đăng ký môn học, chương trình đào tạo, kế hoạch các môn thực tập, thực tế và dự trù cơ sở vật chất phục vụ giảng dạy, học tập.",0.64346325,TB_763,TB_906
"Theo Thông báo TB_763, khảo sát chất lượng đào tạo bổ sung áp dụng cho các học kỳ và khóa nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, khảo sát áp dụng cho học kỳ 2 năm học 2022–2023 đối với khóa tuyển sinh năm 2021 trở về trước và học kỳ 3 năm học 2022–2023 đối với khóa tuyển sinh năm 2022 (đợt bổ sung). (áp dụng từ 24/07/2023 đến 27/07/2023)","Các đơn vị Khoa, Viện đào tạo (quản lý các ngành đào tạo đại học và sau đại học) phải làm hai việc: 1. Đề xuất bổ sung tài liệu mỗi năm học; 2. Ghi rõ nội dung bổ sung, nhất là cho chi nhánh Cà Mau.",0.64590704,TB_763,TB_410
"Theo Thông báo TB_763, thời gian thực hiện khảo sát chất lượng đào tạo bổ sung là khi nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, thời gian thực hiện khảo sát bổ sung từ ngày 16/08/2023 (thứ Tư) đến ngày 18/08/2023 (thứ Sáu). (áp dụng từ 24/07/2023 đến 27/07/2023)","Gồm cập nhật và công khai chất lượng giáo dục theo Thông tư 36, thông tin về kết quả đào tạo, nghiên cứu, phục vụ cộng đồng và kết quả đối sánh.",0.63807964,TB_763,KH_821
"Theo Thông báo TB_763, sinh viên sẽ thực hiện khảo sát chất lượng đào tạo bằng hình thức nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên thực hiện khảo sát online tại Cổng thông tin sinh viên của Trường Đại học Bình Dương (sv.bdu.edu.vn). (áp dụng từ 24/07/2023 đến 27/07/2023)","Trường cập nhật thông tin về kết quả đào tạo, nghiên cứu khoa học, phục vụ cộng đồng và đối sánh chất lượng lên hệ thống quản lý chất lượng nội bộ.",0.6509471,TB_763,KH_821
"Theo Thông báo TB_763, sinh viên không thực hiện khảo sát chất lượng đào tạo sẽ bị ảnh hưởng như thế nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên không thực hiện khảo sát sẽ không xem được điểm học kỳ 2 và học kỳ 3 năm học 2022–2023 và sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên. (áp dụng từ 24/07/2023 đến 27/07/2023)","Theo thông báo số 389/TB-ĐHBD của Trường Đại học Bình Dương, sinh viên không thực hiện khảo sát sẽ không xem được kết quả học tập, thời khóa biểu, học phí các học kỳ và sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên.",0.57192695,TB_763,TB_389
"Theo Thông báo TB_763, sinh viên gặp khó khăn khi đăng nhập để khảo sát thì cần liên hệ ở đâu?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên không đăng nhập được Cổng thông tin sinh viên để thực hiện khảo sát cần liên hệ Email: togiaoovu@bdu.edu.vn để được hỗ trợ kịp thời. (áp dụng từ 24/07/2023 đến 27/07/2023)","Theo Thông báo số 693, sinh viên phải sử dụng tài khoản học viên để đăng nhập Cổng thông tin sinh viên và thực hiện khảo sát.",0.6973142,TB_763,TB_693
"Theo Thông báo TB_763, sinh viên sử dụng tài khoản nào để thực hiện khảo sát trên Cổng thông tin sinh viên?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên sử dụng tài khoản đăng ký môn học để đăng nhập vào Cổng thông tin sinh viên và thực hiện khảo sát. (áp dụng từ 24/07/2023 đến 27/07/2023)","Theo Thông báo số 693, sinh viên phải sử dụng tài khoản học viên để đăng nhập Cổng thông tin sinh viên và thực hiện khảo sát.",0.7942831,TB_763,TB_693
"Theo Thông báo TB_763, thông báo khảo sát chất lượng đào tạo được ban hành bởi ai và vào thời gian nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, thông báo khảo sát chất lượng đào tạo được ban hành bởi Trường Đại học Bình Dương vào ngày 14/8/2023, ký bởi Phó Hiệu trưởng Thường trực – Đỗ Đoan Trang. (áp dụng từ 24/07/2023 đến 27/07/2023)","Gồm cập nhật và công khai chất lượng giáo dục theo Thông tư 36, thông tin về kết quả đào tạo, nghiên cứu, phục vụ cộng đồng và kết quả đối sánh.",0.6333206,TB_763,KH_821
"Theo Thông báo TB_763, hình thức khảo sát chất lượng đào tạo tại Trường Đại học Bình Dương được thực hiện thông qua nền tảng nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, hình thức khảo sát được thực hiện online tại Cổng thông tin sinh viên của Trường Đại học Bình Dương, địa chỉ: sv.bdu.edu.vn. (áp dụng từ 24/07/2023 đến 27/07/2023)","Trường cập nhật thông tin về kết quả đào tạo, nghiên cứu khoa học, phục vụ cộng đồng và đối sánh chất lượng lên hệ thống quản lý chất lượng nội bộ.",0.6419795,TB_763,KH_821
"Theo Thông báo TB_763, sinh viên không thực hiện khảo sát có bị ảnh hưởng đến kết quả rèn luyện không?","Dựa theo Thông báo ban hành ngày 14/08/2023, có. Sinh viên không thực hiện khảo sát sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên của Trường Đại học Bình Dương. (áp dụng từ 24/07/2023 đến 27/07/2023)","Theo thông báo số 389/TB-ĐHBD của Trường Đại học Bình Dương, sinh viên không thực hiện khảo sát sẽ không xem được kết quả học tập, thời khóa biểu, học phí các học kỳ và sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên.",0.6417279,TB_763,TB_389
"Theo Thông báo TB_763, trách nhiệm thông báo khảo sát này thuộc về đơn vị nào trong Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, Trường Đại học Bình Dương là đơn vị ban hành và chịu trách nhiệm tổ chức khảo sát theo đúng thời gian và đối tượng quy định. (áp dụng từ 24/07/2023 đến 27/07/2023)","Nhân sự đầu mối do các Khoa, Viện, Trung tâm cử theo thông báo số 362/TB-ĐHBD có vai trò phối hợp cùng Phòng Quản lý Đào tạo và Công tác Sinh viên tiếp nhận, tham mưu Ban Chủ nhiệm đơn vị xử lý công việc và chịu trách nhiệm bảo mật thông tin dữ liệu liên quan.",0.6122401,TB_763,TB_362
"Theo Thông báo TB_763, ai là người ký ban hành văn bản về khảo sát chất lượng đào tạo tại Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, người ký ban hành Thông báo số 763 là Phó Hiệu trưởng Thường trực – Đỗ Đoan Trang. (áp dụng từ 24/07/2023 đến 27/07/2023)","Thông báo số 370/TB-ĐHBD của Trường Đại học Bình Dương áp dụng cho sinh viên trình độ đại học, hình thức đào tạo chính quy tại cơ sở chính Trường Đại học Bình Dương.",0.6490073,TB_763,TB_370
Thông báo số 494/TB-ĐHBD được ban hành dựa trên quyết định nào của Trường Đại học Bình Dương?,Thông báo số 494/TB-ĐHBD được ban hành dựa trên Quyết định số 868/QĐ-ĐHBD ngày 20 tháng 5 năm 2024 của Hiệu trưởng Trường Đại học Bình Dương (áp dụng từ 10/6/2024 đến 09/9/2024).,Thông báo số 389/TB-ĐHBD của Trường Đại học Bình Dương do Phó Hiệu trưởng Thường trực Đỗ Đoan Trang ký ban hành.,0.71373487,TB_494,TB_389
